study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLAC,17.49091,1.278385,229.0,14.97201,20.00981,0.5,23
sbmd,PANAS,self,self,ACAC,17.59459,1.558627,229.0,14.52351,20.66568,0.5,23
sbmd,PANAS,self,self,PLPL,12.1519,1.001411,229.0,10.17874,14.12506,0.5,24
sbmd,PANAS,self,self,ACPL,12.51613,1.130395,229.0,10.28882,14.74343,0.5,24
sbmd,PANAS,self,self,PLAC,19.09091,1.200175,229.0,16.72611,21.45571,0.5,24
sbmd,PANAS,self,self,ACAC,19.94595,1.463272,229.0,17.06275,22.82914,0.5,24
sbmd,PANAS,self,self,PLPL,9.531646,1.142166,229.0,7.281149,11.78214,0.5,25
sbmd,PANAS,self,self,ACPL,10.66129,1.289279,229.0,8.120925,13.20166,0.5,25
sbmd,PANAS,self,self,PLAC,17.89091,1.368867,229.0,15.19372,20.58809,0.5,25
sbmd,PANAS,self,self,ACAC,19.10811,1.668944,229.0,15.81966,22.39656,0.5,25
sbmd,PANAS,self,self,PLPL,11.75949,1.080631,229.0,9.630243,13.88874,0.5,26
sbmd,PANAS,self,self,ACPL,11.66129,1.219818,229.0,9.257788,14.06479,0.5,26
sbmd,PANAS,self,self,PLAC,17.98182,1.295119,229.0,15.42995,20.53369,0.5,26
sbmd,PANAS,self,self,ACAC,19.62162,1.579029,229.0,16.51034,22.7329,0.5,26
sbmd,PANAS,self,self,PLPL,10.44304,1.008802,229.0,8.455317,12.43076,0.5,27
sbmd,PANAS,self,self,ACPL,12.43548,1.138738,229.0,10.19174,14.67923,0.5,27
sbmd,PANAS,self,self,PLAC,17.92727,1.209033,229.0,15.54502,20.30952,0.5,27
sbmd,PANAS,self,self,ACAC,20.35135,1.474072,229.0,17.44687,23.25583,0.5,27
sbmd,PANAS,self,self,PLPL,11.27848,1.096613,229.0,9.11774,13.43922,0.5,28
sbmd,PANAS,self,self,ACPL,11.33871,1.237859,229.0,8.899661,13.77776,0.5,28
sbmd,PANAS,self,self,PLAC,19.50909,1.314273,229.0,16.91948,22.0987,0.5,28
sbmd,PANAS,self,self,ACAC,20.0,1.602382,229.0,16.8427,23.1573,0.5,28
sbmd,PANAS,self,self,PLPL,10.93671,1.019098,229.0,8.928702,12.94472,0.5,29
sbmd,PANAS,self,self,ACPL,14.3871,1.150359,229.0,12.12045,16.65374,0.5,29
sbmd,PANAS,self,self,PLAC,18.43636,1.221372,229.0,16.0298,20.84293,0.5,29
sbmd,PANAS,self,self,ACAC,21.81081,1.489116,229.0,18.87669,24.74493,0.5,29
sbmd,PANAS,self,self,PLPL,11.29114,1.043067,229.0,9.235904,13.34637,0.5,30
sbmd,PANAS,self,self,ACPL,13.6129,1.177416,229.0,11.29295,15.93286,0.5,30
sbmd,PANAS,self,self,PLAC,19.38182,1.250099,229.0,16.91865,21.84498,0.5,30
sbmd,PANAS,self,self,ACAC,21.75676,1.52414,229.0,18.75363,24.75989,0.5,30
sbmd,PANAS,self,self,PLPL,8.379747,1.066047,229.0,6.279231,10.48026,0.5,31
sbmd,PANAS,self,self,ACPL,11.95161,1.203356,229.0,9.580547,14.32268,0.5,31
sbmd,PANAS,self,self,PLAC,19.50909,1.277641,229.0,16.99166,22.02652,0.5,31
sbmd,PANAS,self,self,ACAC,21.35135,1.557719,229.0,18.28206,24.42065,0.5,31
sbmd,PANAS,self,self,PLPL,10.78481,1.058097,229.0,8.69996,12.86966,0.5,32
sbmd,PANAS,self,self,ACPL,11.12903,1.194382,229.0,8.775649,13.48242,0.5,32
sbmd,PANAS,self,self,PLAC,18.03636,1.268112,229.0,15.5377,20.53502,0.5,32
sbmd,PANAS,self,self,ACAC,19.94595,1.546102,229.0,16.89954,22.99235,0.5,32
sbmd,PANAS,self,self,PLPL,11.25316,1.116972,229.0,9.052308,13.45402,0.5,33
