study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.16503353525486814,-0.0036119929211431145,0.6849400020760932,0.5,33
sbmd,PANAS,self,self,with_guess,3.0,229.0,8.5913274867085,0.0893889644469088,1.986242065998164e-05,0.5,33
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.4096140131030743,-0.0025512595464745047,0.5227997515372518,0.5,34
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.398813651457669,0.10836597476487952,1.927678867360993e-06,0.5,34
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.5531028208814384,-0.0019299986641261313,0.4578084222509424,0.5,35
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.015031710168738,0.13447399629885615,7.029976429982694e-08,0.5,35
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.006577686143169546,-0.0043004070438483755,0.9354303153182765,0.5,36
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.018472078170396,0.13450732218358807,6.999797732286263e-08,0.5,36
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.30709424268228697,-0.002995609622723938,0.5800048388043213,0.5,37
sbmd,PANAS,self,self,with_guess,3.0,229.0,17.699739434336216,0.17759431807143844,2.2838089653821465e-10,0.5,37
sbmd,PANAS,self,self,without_guess,1.0,231.0,3.4575627073655752,0.010481908448536359,0.06423449387601636,0.5,38
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.140881309287403,0.11592994976540649,7.475897285831057e-07,0.5,38
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.0391354969503805,0.00016865903618623612,0.3090890379406653,0.5,39
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.132365448866425,0.1451640304076265,1.751182062825014e-08,0.5,39
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.7160393463134879,-0.0012254682692125485,0.39832187203793146,0.5,40
sbmd,PANAS,self,self,with_guess,3.0,229.0,8.84729862169318,0.09212538627133438,1.4244992097717417e-05,0.5,40
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.3762287457343616,-0.0026959176301171173,0.5402319686580203,0.5,41
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.233218513514101,0.10666034763460852,2.383421603935568e-06,0.5,41
sbmd,PANAS,self,self,without_guess,1.0,231.0,5.339402138933605,0.018360891580755823,0.021730475820233117,0.5,42
sbmd,PANAS,self,self,with_guess,3.0,229.0,17.573985412119125,0.17649301069967716,2.654624023698889e-10,0.5,42
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.04490333067817946,-0.004133814057585283,0.8323687311786739,0.5,43
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.702301659569473,0.11147504881604686,1.3075757608798937e-06,0.5,43
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.01182778567448173,-0.004277582770533694,0.91349073255934,0.5,44
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.06495282998081,0.1445265544788934,1.9035719020008125e-08,0.5,44
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.20231036932065638,-0.0034501801881006156,0.6532841871058261,0.5,45
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.501774815637427,0.1486404881413731,1.1095977174060053e-08,0.5,45
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.4437381054679825,0.001909012946894939,0.23076582007090066,0.5,46
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.35105305312424,0.10787471011717431,2.049290061468725e-06,0.5,46
sbmd,PANAS,self,self,without_guess,1.0,231.0,4.0380660609808166,0.01292584691448495,0.0456480530126548,0.5,47
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.314094966290225,0.1276302672656131,1.6938304411658938e-07,0.5,47
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.364310288140473,0.0015678409807802218,0.24399597996970124,0.5,48
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.02882886946843,0.11479602400622368,8.621973855626395e-07,0.5,48
sbmd,PANAS,self,self,without_guess,1.0,231.0,9.348810838028442,0.034736226939998116,0.002494208323930921,0.5,49
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.815879257291009,0.15157431276276456,7.537297729854822e-09,0.5,49
sbmd,PANAS,self,self,without_guess,1.0,231.0,4.493715740423342,0.014835706886863864,0.0350865483780491,0.5,50
sbmd,PANAS,self,self,with_guess,3.0,229.0,15.810973271556698,0.16073671632329256,2.230824515375303e-09,0.5,50
sbmd,PANAS,self,self,without_guess,1.0,231.0,3.0897692063304807,0.008927212895359471,0.08011047900836861,0.5,51
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.832453950622575,0.12286459730387767,3.1098650149526834e-07,0.5,51
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.0905052018556345,0.00038995650329132214,0.2974508645364956,0.5,52
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.271789453551674,0.13695410565686805,5.101299123723973e-08,0.5,52
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.19180820886307787,-0.0034957630955798624,0.6618251451799901,0.5,53
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.663499418986959,0.13105521913849094,1.0918921059411691e-07,0.5,53
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.00595807256961497,-0.004303100819235572,0.9385403629642055,0.5,54
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.092600481670045,0.12544510420299282,2.2390943880350667e-07,0.5,54
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.5592254821399608,-0.001903506616686368,0.45533308331779554,0.5,55
sbmd,PANAS,self,self,with_guess,3.0,229.0,6.272357729484793,0.06382559920085162,0.00041488504947422385,0.5,55
sbmd,PANAS,self,self,without_guess,1.0,231.0,4.812262514751223,0.016166515151063265,0.029255039663692247,0.5,56
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.525626331059973,0.11980139955294411,4.5861547618343834e-07,0.5,56
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.0034853577094912202,-0.004313851112451417,0.9529737427291867,0.5,57
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.29852313062673,0.13721151849143987,4.9339978535144276e-08,0.5,57
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.02885293474540883,-0.004203574804264365,0.865267712120572,0.5,58
sbmd,PANAS,self,self,with_guess,3.0,229.0,8.203293160820946,0.08520913903891181,3.291779406692162e-05,0.5,58
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.5314783845984594,-0.002023576313123554,0.4667244677477145,0.5,59
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.609213185599147,0.12063800294110405,4.1251736930527293e-07,0.5,59
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.034289586517706,0.00014777810029198424,0.3102172711797378,0.5,60
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.861011019173937,0.15199419566628924,7.130587996935613e-09,0.5,60
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.00915331932876153,-0.004289209611108236,0.9238632451251318,0.5,61
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.708076333093,0.11153399709744827,1.2979673599566847e-06,0.5,61
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.1657097152577074,0.0007137562022442312,0.2814105417501885,0.5,62
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.467821188024736,0.12914045149341558,1.396035280079047e-07,0.5,62
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.0018264086435814948,-0.004321063633456523,0.9659484983665936,0.5,63
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.272937270579964,0.1369651608962732,5.093999921470685e-08,0.5,63
sbmd,PANAS,self,self,without_guess,1.0,231.0,2.485797738414178,0.006363546531762965,0.11624655194401701,0.5,64
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.23778442353074,0.12687865647557373,1.864658457776399e-07,0.5,64
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.0802570143414816,-0.0039801885177990215,0.7772031366445298,0.5,65
sbmd,PANAS,self,self,with_guess,3.0,229.0,9.465344848673954,0.0986652128919302,6.401701280388719e-06,0.5,65
sbmd,PANAS,self,self,without_guess,1.0,231.0,4.50966002131543,0.014902403667848563,0.0347673637519357,0.5,66
sbmd,PANAS,self,self,with_guess,3.0,229.0,9.966307226721081,0.10389738785159353,3.357649141938583e-06,0.5,66
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.024222704209408846,-0.004223701239501221,0.8764555099218775,0.5,67
sbmd,PANAS,self,self,with_guess,3.0,229.0,8.97471847886246,0.09348142771351375,1.2075496651675908e-05,0.5,67
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.5815945599211669,-0.0018067301111468481,0.4464660192063461,0.5,68
sbmd,PANAS,self,self,with_guess,3.0,229.0,8.3933358524565,0.08726102328234209,2.569791798037855e-05,0.5,68
sbmd,PANAS,self,self,without_guess,1.0,231.0,3.650744318514361,0.011296551929604215,0.057282246126562665,0.5,69
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.72671169492721,0.12181133556637136,3.554920456369463e-07,0.5,69
