study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.98823,2.004682,229.0,-3.984787,9.080232e-05,0.0005236853,0.5,82
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.189669,1.637287,229.0,-0.7266101,0.4682069,0.8863736,0.5,82
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.7380835,2.051806,229.0,-0.3597238,0.7193852,0.9840265,0.5,82
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.901036,1.717002,229.0,-4.601646,6.943472e-06,4.094953e-05,0.5,83
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.475153,2.031113,229.0,-4.172664,4.276385e-05,0.0002487804,0.5,83
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.713352,1.658874,229.0,-1.635659,0.1032847,0.3606938,0.5,83
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.287469,2.078859,229.0,-1.581382,0.1151709,0.3912799,0.5,83
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.429689,1.671864,229.0,-5.640227,4.982198e-08,2.977944e-07,0.5,84
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.203139,1.977717,229.0,-3.136514,0.001933795,0.01036389,0.5,84
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.137607,1.615264,229.0,-1.32338,0.1870289,0.548993,0.5,84
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.088943,2.024207,229.0,0.5379604,0.5911268,0.9496713,0.5,84
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.883544,1.658874,229.0,-5.957983,9.553331e-09,5.718529e-08,0.5,85
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.02136,1.962352,229.0,-3.578034,0.0004224419,0.002371932,0.5,85
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.635157,1.602714,229.0,-2.892067,0.004195824,0.02167909,0.5,85
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.772973,2.008481,229.0,-0.8827434,0.3783006,0.8138239,0.5,85
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.928654,1.637371,229.0,-4.842307,2.36223e-06,1.400044e-05,0.5,86
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.647341,1.936915,229.0,-3.948207,0.0001048123,0.0006033216,0.5,86
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.5049,1.581939,229.0,-0.9513008,0.3424547,0.7770998,0.5,86
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.223587,1.982446,229.0,-0.6172109,0.5377088,0.9265161,0.5,86
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.718297,1.631999,229.0,-2.891115,0.0042081,0.02173903,0.5,87
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-10.35833,1.93056,229.0,-5.365452,1.973734e-07,1.177456e-06,0.5,87
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.0641078,1.576749,229.0,0.04065822,0.9676038,0.9999758,0.5,87
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-5.575921,1.975941,229.0,-2.821906,0.005193477,0.02650719,0.5,87
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.489298,1.503403,229.0,-4.316405,2.361014e-05,0.0001380988,0.5,88
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.670881,1.778439,229.0,-4.313267,2.392227e-05,0.0001399094,0.5,88
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.07492854,1.452507,229.0,-0.05158567,0.9589038,0.9999506,0.5,88
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.256511,1.820245,229.0,-0.6902979,0.4907059,0.9007317,0.5,88
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.029459,1.544688,229.0,-5.198111,4.455323e-07,2.65362e-06,0.5,89
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.84612,1.827276,229.0,-3.746626,0.0002268822,0.001290102,0.5,89
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.798081,1.492394,229.0,-1.20483,0.2295126,0.6244092,0.5,89
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.614742,1.87023,229.0,-0.3286986,0.7426839,0.9877151,0.5,89
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.489068,1.595424,229.0,-4.694091,4.611283e-06,2.72521e-05,0.5,90
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.183086,1.887294,229.0,-3.806024,0.0001812981,0.001034935,0.5,90
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.541854,1.541413,229.0,-1.649042,0.1005102,0.3533372,0.5,90
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.235872,1.931659,229.0,-1.157488,0.2482788,0.6542426,0.5,90
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.168239,1.664275,229.0,-4.307124,2.454467e-05,0.0001435189,0.5,91
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.522232,1.968741,229.0,-2.804956,0.005464817,0.02780615,0.5,91
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.435688,1.607932,229.0,-0.2709617,0.7866646,0.9930278,0.5,91
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.210319,2.01502,229.0,0.6006489,0.5486679,0.9317699,0.5,91
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.744764,1.616976,229.0,-2.934344,0.00368255,0.01916043,0.5,92
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.768963,1.912788,229.0,-3.538793,0.0004866441,0.002723415,0.5,92
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.3846468,1.562234,229.0,-0.2462158,0.8057357,0.9947435,0.5,92
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.408845,1.957752,229.0,-1.230414,0.2198046,0.6081743,0.5,92
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.874108,1.618376,229.0,-4.865437,2.125109e-06,1.260008e-05,0.5,93
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-11.50174,1.914445,229.0,-6.007874,7.329779e-09,4.388294e-08,0.5,93
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,1.430584,1.563587,229.0,0.914937,0.3611871,0.7969045,0.5,93
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.197052,1.959448,229.0,-1.121261,0.2633514,0.6768002,0.5,93
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.99977,1.596762,229.0,-5.009996,1.087923e-06,6.464807e-06,0.5,94
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.859198,1.888876,229.0,-4.16078,4.48853e-05,0.0002609936,0.5,94
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.660474,1.542704,229.0,-2.372764,0.0184827,0.08528176,0.5,94
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.519902,1.933278,229.0,-1.820691,0.06995896,0.2662435,0.5,94
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.001611,1.709102,229.0,-5.266866,3.19579e-07,1.904775e-06,0.5,95
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.837838,2.021768,229.0,-2.392875,0.01752391,0.08130012,0.5,95
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.037975,1.651242,229.0,-1.839812,0.06709009,0.257431,0.5,95
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.125799,2.069294,229.0,0.5440496,0.5869366,0.9480698,0.5,95
sbmd,mood,self,self,PLPLvsPLAC,fixCondition,-16.52727,3.473954,229.0,-4.757481,3.470598e-06,2.05373e-05,0.5,0
sbmd,mood,self,self,ACPLvsACAC,fixCondition,-14.34917,4.109486,229.0,-3.491719,0.0005757378,0.003208664,0.5,0
sbmd,mood,self,self,PLPLvsACPL,fixGuess,-6.596774,3.356346,229.0,-1.965463,0.05056935,0.2041937,0.5,0
sbmd,mood,self,self,PLACvsACAC,fixGuess,-4.418673,4.206088,229.0,-1.050542,0.2945762,0.7198399,0.5,0
