study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,CPS,self,self,without_guess,intercept,-0.21874999999999978,0.1245051802761733,-1.7569550079344145,0.08057979174531105,0.0,85
sbmd,CPS,self,self,without_guess,conditionAC,0.3286401098901095,0.17847916627326724,1.8413359763622645,0.06717363126471794,0.0,85
sbmd,CPS,self,self,with_guess,intercept,-0.21874999999999978,0.1245051802761733,-1.7569550079344145,0.08057979174531105,0.0,85
sbmd,CPS,self,self,with_guess,conditionAC,0.3286401098901095,0.17847916627326724,1.8413359763622645,0.06717363126471794,0.0,85
sbmd,CPS,self,self,without_guess,intercept,-0.062499999999999986,0.12805487712032507,-0.4880720001103331,0.6260768052667425,0.0,86
sbmd,CPS,self,self,without_guess,conditionAC,-0.003434065934065979,0.18356768493459313,-0.01870735546558518,0.9850947209611414,0.0,86
sbmd,CPS,self,self,with_guess,intercept,-0.0625,0.12805487712032507,-0.4880720001103332,0.6260768052667425,0.0,86
sbmd,CPS,self,self,with_guess,conditionAC,-0.0034340659340659986,0.18356768493459313,-0.018707355465585288,0.9850947209611414,0.0,86
sbmd,CPS,self,self,without_guess,intercept,-0.09375000000000003,0.121352379778736,-0.7725435642130472,0.44077839904620975,0.0,87
sbmd,CPS,self,self,without_guess,conditionAC,-0.21394230769230765,0.1739596016819758,-1.229839029428374,0.22031908365277594,0.0,87
