study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,CPS,self,self,with_guess,1.0,185.0,0.16928728563565965,-0.004486233794716243,0.6812222557024601,0.0,8
sbmd,CPS,self,self,without_guess,1.0,185.0,0.42604878389564443,-0.0030953106096396343,0.5147444212403909,0.0,9
sbmd,CPS,self,self,with_guess,1.0,185.0,0.4260487838956451,-0.0030953106096396343,0.5147444212403904,0.0,9
sbmd,CPS,self,self,without_guess,1.0,185.0,0.2693555822991713,-0.00394368737023143,0.604384669158393,0.0,10
sbmd,CPS,self,self,with_guess,1.0,185.0,0.2693555822991713,-0.00394368737023143,0.604384669158393,0.0,10
sbmd,CPS,self,self,without_guess,1.0,185.0,0.32582551589044545,-0.003637779474246816,0.5688202760684732,0.0,11
sbmd,CPS,self,self,with_guess,1.0,185.0,0.32582551589044545,-0.003637779474246816,0.5688202760684732,0.0,11
sbmd,CPS,self,self,without_guess,1.0,185.0,0.08501964752626756,-0.004943567849068575,0.7709334686345242,0.0,12
sbmd,CPS,self,self,with_guess,1.0,185.0,0.08501964752626764,-0.004943567849068575,0.770933468634524,0.0,12
sbmd,CPS,self,self,without_guess,1.0,185.0,0.08154891297503057,-0.004962413014258926,0.7755287212689599,0.0,13
sbmd,CPS,self,self,with_guess,1.0,185.0,0.08154891297503057,-0.004962413014258926,0.7755287212689599,0.0,13
sbmd,CPS,self,self,without_guess,1.0,185.0,0.9769783786882587,-0.00012378747903341036,0.3242369215300984,0.0,14
sbmd,CPS,self,self,with_guess,1.0,185.0,0.9769783786882587,-0.00012378747903341036,0.3242369215300984,0.0,14
sbmd,CPS,self,self,without_guess,1.0,185.0,0.012550747282205942,-0.005337201442439321,0.9109209872865224,0.0,15
sbmd,CPS,self,self,with_guess,1.0,185.0,0.012550747282205916,-0.005337201442439321,0.9109209872865225,0.0,15
sbmd,CPS,self,self,without_guess,1.0,185.0,0.00010585894953017217,-0.005404830102166747,0.9918019744738855,0.0,16
sbmd,CPS,self,self,with_guess,1.0,185.0,0.00010585894953017492,-0.005404830102166747,0.9918019744738854,0.0,16
sbmd,CPS,self,self,without_guess,1.0,185.0,0.41690909537896753,-0.0031447558233272943,0.5192834418947168,0.0,17
sbmd,CPS,self,self,with_guess,1.0,185.0,0.4169090953789674,-0.0031447558233272943,0.5192834418947168,0.0,17
sbmd,CPS,self,self,without_guess,1.0,185.0,0.04233712637983864,-0.00517537169326876,0.8372047303322279,0.0,18
sbmd,CPS,self,self,with_guess,1.0,185.0,0.04233712637983864,-0.00517537169326876,0.8372047303322279,0.0,18
sbmd,CPS,self,self,without_guess,1.0,185.0,3.77403522269791,0.014695004105969134,0.05357190626977727,0.0,19
sbmd,CPS,self,self,with_guess,1.0,185.0,3.77403522269791,0.014695004105969134,0.05357190626977727,0.0,19
sbmd,CPS,self,self,without_guess,1.0,185.0,1.961789765780779,0.0051443119312544194,0.16299707619850967,0.0,20
sbmd,CPS,self,self,with_guess,1.0,185.0,1.9617897657807768,0.0051443119312544194,0.16299707619850984,0.0,20
sbmd,CPS,self,self,without_guess,1.0,185.0,0.5641045096774587,-0.0023490291480365855,0.4535654936948017,0.0,21
sbmd,CPS,self,self,with_guess,1.0,185.0,0.564104509677458,-0.0023490291480365855,0.45356549369480204,0.0,21
sbmd,CPS,self,self,without_guess,1.0,185.0,2.160481141285928,0.006200460344028991,0.14329894136181556,0.0,22
sbmd,CPS,self,self,with_guess,1.0,185.0,2.160481141285928,0.006200460344028991,0.14329894136181556,0.0,22
sbmd,CPS,self,self,without_guess,1.0,185.0,5.729075536946301e-05,-0.005405094051798454,0.9939689728317633,0.0,23
sbmd,CPS,self,self,with_guess,1.0,185.0,5.729075536946469e-05,-0.005405094051798454,0.9939689728317633,0.0,23
sbmd,CPS,self,self,without_guess,1.0,185.0,9.718150940842497,0.044773180613712604,0.0021160464151428627,0.0,24
sbmd,CPS,self,self,with_guess,1.0,185.0,9.718150940842504,0.044773180613712715,0.002116046415142855,0.0,24
sbmd,CPS,self,self,without_guess,1.0,185.0,1.3129409625832977,0.0016796523148983056,0.2533428807463442,0.0,25
sbmd,CPS,self,self,with_guess,1.0,185.0,1.3129409625832977,0.0016796523148983056,0.2533428807463442,0.0,25
sbmd,CPS,self,self,without_guess,1.0,185.0,0.007266851510118007,-0.005365914352362555,0.9321581392422755,0.0,26
sbmd,CPS,self,self,with_guess,1.0,185.0,0.007266851510118007,-0.005365914352362555,0.9321581392422755,0.0,26
sbmd,CPS,self,self,without_guess,1.0,185.0,1.2248611812557217,0.0012074713323957376,0.26984575340040967,0.0,27
