study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPL,12.83333,2.410356,229.0,8.084022,17.58264,0.07143,50
sbmd,PANAS,self,self,ACPL,12.08772,0.7820228,229.0,10.54684,13.6286,0.07143,50
sbmd,PANAS,self,self,PLAC,18.88235,0.8267454,229.0,17.25335,20.51135,0.07143,50
sbmd,PANAS,self,self,ACAC,21.0,3.734108,229.0,13.6424,28.3576,0.07143,50
sbmd,PANAS,self,self,PLPL,10.75,2.520724,229.0,5.783222,15.71678,0.07143,51
sbmd,PANAS,self,self,ACPL,14.20175,0.817831,229.0,12.59032,15.81319,0.07143,51
sbmd,PANAS,self,self,PLAC,18.67647,0.8646013,229.0,16.97288,20.38006,0.07143,51
sbmd,PANAS,self,self,ACAC,21.0,3.905089,229.0,13.3055,28.6945,0.07143,51
sbmd,PANAS,self,self,PLPL,12.5,2.862377,229.0,6.860037,18.13996,0.07143,52
sbmd,PANAS,self,self,ACPL,12.34211,0.9286777,229.0,10.51226,14.17195,0.07143,52
sbmd,PANAS,self,self,PLAC,17.48039,0.9817872,229.0,15.5459,19.41488,0.07143,52
sbmd,PANAS,self,self,ACAC,25.2,4.434375,229.0,16.46261,33.93739,0.07143,52
sbmd,PANAS,self,self,PLPL,8.583333,2.633093,229.0,3.395147,13.77152,0.07143,53
sbmd,PANAS,self,self,ACPL,12.62281,0.8542881,229.0,10.93954,14.30608,0.07143,53
sbmd,PANAS,self,self,PLAC,17.20588,0.9031434,229.0,15.42635,18.98542,0.07143,53
sbmd,PANAS,self,self,ACAC,18.0,4.07917,229.0,9.962496,26.0375,0.07143,53
sbmd,PANAS,self,self,PLPL,12.83333,2.672716,229.0,7.567074,18.09959,0.07143,54
sbmd,PANAS,self,self,ACPL,13.30702,0.8671436,229.0,11.59842,15.01562,0.07143,54
sbmd,PANAS,self,self,PLAC,18.92157,0.916734,229.0,17.11526,20.72788,0.07143,54
sbmd,PANAS,self,self,ACAC,13.8,4.140554,229.0,5.641547,21.95845,0.07143,54
sbmd,PANAS,self,self,PLPL,8.916667,2.762261,229.0,3.47397,14.35936,0.07143,55
sbmd,PANAS,self,self,ACPL,11.84211,0.8961959,229.0,10.07626,13.60795,0.07143,55
sbmd,PANAS,self,self,PLAC,17.91176,0.9474478,229.0,16.04494,19.77859,0.07143,55
sbmd,PANAS,self,self,ACAC,16.6,4.279277,229.0,8.16821,25.03179,0.07143,55
sbmd,PANAS,self,self,PLPL,10.58333,2.397247,229.0,5.859853,15.30681,0.07143,56
sbmd,PANAS,self,self,ACPL,13.50877,0.7777696,229.0,11.97627,15.04127,0.07143,56
sbmd,PANAS,self,self,PLAC,18.36275,0.8222489,229.0,16.7426,19.98289,0.07143,56
