study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,1.0,231.0,4.754097757104198,0.015923785812503866,0.03023852364439735,0.57143,50
sbmd,creativity,self,self,with_guess,3.0,229.0,22.651043518992054,0.21873192727467694,7.041048901933474e-13,0.57143,50
sbmd,creativity,self,self,without_guess,1.0,231.0,5.550257031073195,0.019235899754171393,0.01931473640367537,0.57143,51
sbmd,creativity,self,self,with_guess,3.0,229.0,22.189675492450565,0.2150733696117605,1.192967201230568e-12,0.57143,51
sbmd,creativity,self,self,without_guess,1.0,231.0,4.580491753939794,0.015198591900723146,0.033385914562872834,0.57143,52
sbmd,creativity,self,self,with_guess,3.0,229.0,23.890514589791536,0.2283938909165546,1.727357473093579e-13,0.57143,52
sbmd,creativity,self,self,without_guess,1.0,231.0,5.148037675583503,0.0175654124269371,0.024196066194561962,0.57143,53
sbmd,creativity,self,self,with_guess,3.0,229.0,24.03677946702439,0.22951831799617428,1.465002734282412e-13,0.57143,53
sbmd,creativity,self,self,without_guess,1.0,231.0,10.283938068621303,0.03847723202354625,0.0015318377003825869,0.57143,54
sbmd,creativity,self,self,with_guess,3.0,229.0,25.936151771381127,0.2438278802895001,1.7605226580527765e-14,0.57143,54
sbmd,creativity,self,self,without_guess,1.0,231.0,1.4594198627734052,0.001976344357413562,0.2282577580272902,0.57143,55
sbmd,creativity,self,self,with_guess,3.0,229.0,11.559049111187603,0.12013611211247621,4.395907110743158e-07,0.57143,55
sbmd,creativity,self,self,without_guess,1.0,231.0,0.8586889395321115,-0.0006094706267607553,0.3550729736637349,0.57143,56
sbmd,creativity,self,self,with_guess,3.0,229.0,16.996405305614363,0.1713966581166323,5.310546827223569e-10,0.57143,56
sbmd,creativity,self,self,without_guess,1.0,231.0,5.096811004079916,0.01735225048850464,0.02490447908284737,0.57143,57
sbmd,creativity,self,self,with_guess,3.0,229.0,13.830750162266089,0.1423044483438054,2.5447579220446216e-08,0.57143,57
