study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,creativity,self,self,with_guess,intercept,61.63636363636364,1.6139802019396638,38.18904566629115,8.816231700725365e-102,0.0,40
sbmd,creativity,self,self,with_guess,conditionAC,-10.668883961566886,2.221383838623099,-4.802809751321447,2.8138634764999713e-06,0.0,40
sbmd,creativity,self,self,without_guess,intercept,65.83636363636364,1.6795072409656118,39.19980934319274,4.7142974576853746e-104,0.0,41
sbmd,creativity,self,self,without_guess,conditionAC,-17.99083518107908,2.3115712556125594,-7.782946399509352,2.3588913082608975e-13,0.0,41
sbmd,creativity,self,self,with_guess,intercept,65.83636363636364,1.6795072409656118,39.19980934319274,4.7142974576853746e-104,0.0,41
sbmd,creativity,self,self,with_guess,conditionAC,-17.99083518107908,2.3115712556125594,-7.782946399509352,2.3588913082608975e-13,0.0,41
sbmd,creativity,self,self,without_guess,intercept,63.018181818181816,1.5621243205167863,40.341335827441675,1.442771084199993e-106,0.0,42
sbmd,creativity,self,self,without_guess,conditionAC,-11.945011086474501,2.150012568522078,-5.555786631836074,7.583600049711554e-08,0.0,42
sbmd,creativity,self,self,with_guess,intercept,63.018181818181816,1.5621243205167863,40.341335827441675,1.442771084199993e-106,0.0,42
sbmd,creativity,self,self,with_guess,conditionAC,-11.945011086474501,2.150012568522078,-5.555786631836074,7.583600049711554e-08,0.0,42
sbmd,creativity,self,self,without_guess,intercept,62.77272727272727,1.6071509673599604,39.05838875600029,9.742544260264664e-104,0.0,43
sbmd,creativity,self,self,without_guess,conditionAC,-13.05728011825573,2.2119844969785807,-5.902970900605804,1.2644460400013553e-08,0.0,43
sbmd,creativity,self,self,with_guess,intercept,62.77272727272727,1.6071509673599604,39.05838875600029,9.742544260264664e-104,0.0,43
sbmd,creativity,self,self,with_guess,conditionAC,-13.05728011825573,2.2119844969785807,-5.902970900605804,1.2644460400013553e-08,0.0,43
sbmd,creativity,self,self,without_guess,intercept,61.47272727272728,1.473644150990883,41.714770306924386,1.6005016603772955e-109,0.0,44
sbmd,creativity,self,self,without_guess,conditionAC,-9.57841832963784,2.0282338636858825,-4.722541370170749,4.042184789438955e-06,0.0,44
sbmd,creativity,self,self,with_guess,intercept,61.47272727272728,1.473644150990883,41.714770306924386,1.6005016603772955e-109,0.0,44
sbmd,creativity,self,self,with_guess,conditionAC,-9.57841832963784,2.0282338636858825,-4.722541370170749,4.042184789438955e-06,0.0,44
sbmd,creativity,self,self,without_guess,intercept,65.05454545454546,1.4706245496366415,44.23599855627256,9.320475086557416e-115,0.0,45
sbmd,creativity,self,self,without_guess,conditionAC,-13.761862527716183,2.024077868687099,-6.799077614856142,8.899496664874242e-11,0.0,45
sbmd,creativity,self,self,with_guess,intercept,65.05454545454546,1.4706245496366415,44.23599855627256,9.320475086557416e-115,0.0,45
sbmd,creativity,self,self,with_guess,conditionAC,-13.761862527716184,2.024077868687099,-6.7990776148561425,8.899496664874242e-11,0.0,45
sbmd,creativity,self,self,without_guess,intercept,63.01818181818182,1.6804575790251912,37.50060852755221,3.295237112557218e-100,0.0,46
sbmd,creativity,self,self,without_guess,conditionAC,-13.579157427937911,2.3128792429126768,-5.8711052336814955,1.4950934669362342e-08,0.0,46
sbmd,creativity,self,self,with_guess,intercept,63.01818181818183,1.6804575790251912,37.50060852755221,3.295237112557218e-100,0.0,46
sbmd,creativity,self,self,with_guess,conditionAC,-13.579157427937915,2.3128792429126768,-5.871105233681497,1.495093466936217e-08,0.0,46
sbmd,creativity,self,self,without_guess,intercept,63.60909090909091,1.5311850923903048,41.54239172338854,3.724125629025112e-109,0.0,47
sbmd,creativity,self,self,without_guess,conditionAC,-15.251367331855135,2.1074297033437794,-7.236951869690536,6.731590489043204e-12,0.0,47
sbmd,creativity,self,self,with_guess,intercept,63.60909090909091,1.5311850923903048,41.54239172338854,3.724125629025112e-109,0.0,47
sbmd,creativity,self,self,with_guess,conditionAC,-15.251367331855135,2.1074297033437794,-7.236951869690536,6.731590489043204e-12,0.0,47
sbmd,creativity,self,self,without_guess,intercept,65.80909090909093,1.4796211938899386,44.476985853438734,3.029805119616947e-115,0.0,48
sbmd,creativity,self,self,without_guess,conditionAC,-13.345676274944562,2.036460300715756,-6.553369231039736,3.624814237523572e-10,0.0,48
sbmd,creativity,self,self,with_guess,intercept,65.80909090909093,1.4796211938899386,44.476985853438734,3.029805119616947e-115,0.0,48
sbmd,creativity,self,self,with_guess,conditionAC,-13.345676274944562,2.036460300715756,-6.553369231039736,3.624814237523572e-10,0.0,48
sbmd,creativity,self,self,without_guess,intercept,64.26363636363638,1.5831764360662768,40.591582150699786,4.122582823397926e-107,0.0,49
sbmd,creativity,self,self,without_guess,conditionAC,-15.662010347376201,2.1789874154218496,-7.187747040908932,9.041245065665033e-12,0.0,49
sbmd,creativity,self,self,with_guess,intercept,64.26363636363638,1.5831764360662768,40.591582150699786,4.122582823397926e-107,0.0,49
sbmd,creativity,self,self,with_guess,conditionAC,-15.662010347376201,2.1789874154218496,-7.187747040908932,9.041245065665033e-12,0.0,49
sbmd,creativity,self,self,without_guess,intercept,63.08181818181819,1.6616130202095833,37.964205512702065,2.861632040849191e-101,0.0,50
sbmd,creativity,self,self,without_guess,conditionAC,-11.341980783444198,2.2869427423603987,-4.959451136821167,1.3697419982134198e-06,0.0,50
sbmd,creativity,self,self,with_guess,intercept,63.08181818181819,1.6616130202095833,37.964205512702065,2.861632040849191e-101,0.0,50
sbmd,creativity,self,self,with_guess,conditionAC,-11.341980783444198,2.2869427423603987,-4.959451136821167,1.3697419982134198e-06,0.0,50
sbmd,creativity,self,self,without_guess,intercept,66.30909090909093,1.5649517595114866,42.3713322190774,6.574627549749426e-111,0.0,51
sbmd,creativity,self,self,without_guess,conditionAC,-15.244050258684405,2.153904082978062,-7.0774044114385335,1.7442323732846525e-11,0.0,51
sbmd,creativity,self,self,with_guess,intercept,66.30909090909093,1.5649517595114866,42.3713322190774,6.574627549749426e-111,0.0,51
sbmd,creativity,self,self,with_guess,conditionAC,-15.244050258684405,2.153904082978062,-7.0774044114385335,1.7442323732846525e-11,0.0,51
sbmd,creativity,self,self,without_guess,intercept,64.1,1.573248908650856,40.74371172135064,1.9305480069106478e-107,0.0,52
sbmd,creativity,self,self,without_guess,conditionAC,-11.913008130081302,2.165323772626479,-5.501721396440933,9.954795437850168e-08,0.0,52
