study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,mood,self,self,without_guess,1.0,231.0,15.030803563342129,0.05702864584486811,0.0001378941950889159,0.21429,25
sbmd,mood,self,self,with_guess,3.0,229.0,7.241806728593844,0.074684968807337,0.00011580471612740301,0.21429,25
sbmd,mood,self,self,without_guess,1.0,231.0,0.09678829702399704,-0.003908369777147813,0.7559989490308803,0.21429,26
sbmd,mood,self,self,with_guess,3.0,229.0,12.681355508382346,0.1312295269509275,1.0677049624330975e-07,0.21429,26
sbmd,mood,self,self,without_guess,1.0,231.0,0.09535737075141168,-0.00391458590748428,0.7577520717417033,0.21429,27
sbmd,mood,self,self,with_guess,3.0,229.0,9.144552791978583,0.09528257144822871,9.691160540902672e-06,0.21429,27
sbmd,mood,self,self,without_guess,1.0,231.0,5.795724565402524,0.02025258088677173,0.016850669897642678,0.21429,28
sbmd,mood,self,self,with_guess,3.0,229.0,6.303822876508797,0.06418205949682854,0.0003980105436603417,0.21429,28
sbmd,mood,self,self,without_guess,1.0,231.0,2.7896242096679282,0.007654848737268849,0.09623086496641567,0.21429,29
sbmd,mood,self,self,with_guess,3.0,229.0,4.416630400790987,0.04231123139622095,0.0048382948703664585,0.21429,29
sbmd,mood,self,self,without_guess,1.0,231.0,1.6080615584621787,0.0026141035456302975,0.20604108706251634,0.21429,30
sbmd,mood,self,self,with_guess,3.0,229.0,7.563156604587547,0.07822921566139363,7.59870125043341e-05,0.21429,30
sbmd,mood,self,self,without_guess,1.0,231.0,7.949467593378594,0.029083419450025905,0.005227827843502038,0.21429,31
sbmd,mood,self,self,with_guess,3.0,229.0,10.120969062173703,0.1055004645164741,2.7526529786879553e-06,0.21429,31
sbmd,mood,self,self,without_guess,1.0,231.0,3.6687089499078764,0.01137224030357431,0.05667794520799651,0.21429,32
sbmd,mood,self,self,with_guess,3.0,229.0,8.137889700772806,0.08450084471833463,3.584871281607741e-05,0.21429,32
sbmd,mood,self,self,without_guess,1.0,231.0,5.0857813820876006,0.017306342458104584,0.025059824947910203,0.21429,33
sbmd,mood,self,self,with_guess,3.0,229.0,10.259173560058422,0.10692811528667079,2.3053993358402497e-06,0.21429,33
sbmd,mood,self,self,without_guess,1.0,231.0,0.39065098303157586,-0.0026334210754828113,0.5325743257789346,0.21429,34
sbmd,mood,self,self,with_guess,3.0,229.0,10.110593061665567,0.10539309632969951,2.789565177499262e-06,0.21429,34
