study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-9.063158,4.317285,229.0,-2.099272,0.03688809,0.1564215,0.07143,58
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-6.570175,2.867589,229.0,-2.291184,0.02286198,0.1030746,0.07143,58
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-5.123529,4.327943,229.0,-1.183826,0.2377095,0.6376859,0.07143,58
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.710784,2.925806,229.0,-2.635439,0.00897695,0.04415975,0.07143,59
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-9.594737,4.380462,229.0,-2.190348,0.02950811,0.1289822,0.07143,59
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.52193,2.909552,229.0,-0.5230805,0.601424,0.9534615,0.07143,59
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.405882,4.391275,229.0,-0.7756021,0.4387842,0.8654349,0.07143,59
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-5.166667,2.999855,229.0,-1.722305,0.0863644,0.3144612,0.07143,60
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-10.11754,4.491327,229.0,-2.252685,0.02522675,0.1124349,0.07143,60
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.1842105,2.983189,229.0,0.06174952,0.9508162,0.9999153,0.07143,60
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-4.766667,4.502414,229.0,-1.058691,0.2908558,0.7149609,0.07143,60
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.593137,2.821868,229.0,-2.69082,0.007653137,0.0380882,0.07143,61
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-9.535088,4.224847,229.0,-2.256907,0.02495738,0.1113769,0.07143,61
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.548246,2.80619,229.0,-0.5517251,0.5816747,0.9460091,0.07143,61
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.490196,4.235276,229.0,-0.8240776,0.4107529,0.8430279,0.07143,61
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.647059,2.611012,229.0,-2.928772,0.003746746,0.01947683,0.07143,62
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-10.05789,3.909158,229.0,-2.572906,0.01071629,0.05198929,0.07143,62
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.342105,2.596506,229.0,-0.5168889,0.6057326,0.9549872,0.07143,62
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.752941,3.918808,229.0,-0.9576743,0.339237,0.7735575,0.07143,62
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-1.911765,2.944293,229.0,-0.649312,0.5167874,0.9157105,0.07143,63
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.536842,4.408139,229.0,-1.709756,0.08866557,0.3209471,0.07143,63
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,5.070175,2.927935,229.0,1.731655,0.08468161,0.3096769,0.07143,63
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.554902,4.419021,229.0,-0.1255712,0.9001815,0.9992908,0.07143,63
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.426471,3.066587,229.0,-2.095643,0.03721237,0.1575983,0.07143,64
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.096491,4.591235,229.0,-1.110048,0.2681426,0.6837206,0.07143,64
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.6798246,3.04955,229.0,0.2229262,0.8237917,0.9960824,0.07143,64
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,2.009804,4.602569,229.0,0.43667,0.6627621,0.9720759,0.07143,64
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.588235,2.871068,229.0,-2.991303,0.003081753,0.01617873,0.07143,65
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-12.46316,4.298509,229.0,-2.899414,0.004102178,0.02122142,0.07143,65
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.903509,2.855117,229.0,-0.6667007,0.5056345,0.9095165,0.07143,65
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-5.778431,4.30912,229.0,-1.340977,0.1812564,0.5378247,0.07143,65
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.269608,2.866666,229.0,-1.489398,0.1377584,0.4455614,0.07143,66
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.149123,4.291918,229.0,-1.432721,0.1533012,0.4802619,0.07143,66
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.5657895,2.85074,229.0,0.1984711,0.8428526,0.9972246,0.07143,66
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.313725,4.302513,229.0,-0.3053391,0.7603852,0.9900974,0.07143,66
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.955882,2.67202,229.0,-2.977479,0.003218678,0.01686165,0.07143,67
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.798246,4.000498,229.0,-1.69935,0.09061119,0.3263805,0.07143,67
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.618421,2.657175,229.0,-0.9854153,0.3254601,0.7579081,0.07143,67
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.460784,4.010373,229.0,-0.3642515,0.7160063,0.9834362,0.07143,67
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-2.980392,2.827815,229.0,-1.053956,0.2930139,0.717799,0.07143,68
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-11.02632,4.233751,229.0,-2.604384,0.009806214,0.04791253,0.07143,68
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,3.526316,2.812105,229.0,1.253977,0.2111288,0.5931808,0.07143,68
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-4.519608,4.244202,229.0,-1.06489,0.2880473,0.7112343,0.07143,68
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.926471,2.61635,229.0,-3.411802,0.0007628363,0.004219389,0.07143,69
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.757895,3.91715,229.0,-1.469919,0.1429562,0.4573943,0.07143,69
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-5.258772,2.601815,229.0,-2.021194,0.04442345,0.1831905,0.07143,69
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.090196,3.92682,229.0,-0.5322872,0.5950431,0.951137,0.07143,69
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.333333,2.722724,229.0,-3.060661,0.002472062,0.01311152,0.07143,70
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.833333,4.07641,229.0,-1.430998,0.1537941,0.4813295,0.07143,70
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.833333,2.707597,229.0,-1.415769,0.1582016,0.4907881,0.07143,70
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.333333,4.086473,229.0,-0.3262797,0.7445107,0.9879771,0.07143,70
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.431373,2.940754,229.0,-1.506883,0.1332189,0.4350325,0.07143,71
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-12.23158,4.402842,229.0,-2.77811,0.005921035,0.02997746,0.07143,71
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,2.131579,2.924417,229.0,0.7288903,0.4668136,0.8854386,0.07143,71
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-5.668627,4.41371,229.0,-1.284322,0.2003269,0.5738491,0.07143,71
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.926471,2.729375,229.0,-3.636903,0.0003408784,0.001922961,0.07143,72
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.612281,4.086369,229.0,-1.128699,0.2602058,0.6721921,0.07143,72
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.504386,2.714212,229.0,-1.659556,0.09837262,0.3476112,0.07143,72
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.8098039,4.096456,229.0,0.197684,0.8434676,0.9972572,0.07143,72
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-5.485294,2.814587,229.0,-1.94888,0.052531,0.2107522,0.07143,73
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.505263,4.213947,229.0,-2.01836,0.04471986,0.1842199,0.07143,73
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.5219298,2.798951,229.0,0.1864734,0.8522386,0.9976941,0.07143,73
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.498039,4.224349,229.0,-0.591343,0.5548739,0.9346257,0.07143,73
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.245098,2.786026,229.0,-2.600513,0.009914265,0.04839879,0.07143,74
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.433333,4.171186,229.0,-1.542327,0.1243748,0.41398,0.07143,74
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.833333,2.770548,229.0,-0.6617222,0.5088145,0.9113142,0.07143,74
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.021569,4.181482,229.0,-0.2443078,0.8072112,0.994863,0.07143,74
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.906863,2.777675,229.0,-2.486563,0.01361247,0.06469807,0.07143,75
